extract duration: 1248
remove duration: 3
43,996,73,13,22852433
42,1066,297,3,22900606
41,1124,461,2,22911725
40,1112,620,1,23001988
39,1279,763,1,23014385
38,1267,941,1,23017652
37,1056,2121,0,23028672
36,995,1223,0,22824765
35,1193,1323,0,23341742
34,1033,1469,0,23344497
33,1081,1575,0,23202627
32,1310,2123,0,23642840
31,1109,2343,0,23646113
30,1370,2447,0,23649576
29,1227,2749,0,24053991
28,1516,2985,0,24058176
27,1346,3187,0,24061831
26,1309,3414,0,23864262
25,1144,3406,0,24097260
24,1055,3619,0,24956197
23,1419,3787,0,24961252
22,1294,3822,0,24986499
21,8,3858,0,24986627
20,931,3828,0,24989353
19,1137,3812,0,24992378
18,1196,4079,0,26277406
17,939,4226,0,26280164
16,1285,4309,0,26282987
15,1286,4557,0,26285911
14,1075,4714,0,26288480
13,1460,4718,0,26291583
12,14,4807,0,26291736
11,4,4896,0,26291901
10,8,4896,0,26292021
9,17,5052,0,28217371
8,12,4862,0,28217542
7,15,4932,0,28217662
6,15,5137,0,29149706
5,16,4776,0,29149918
4,17,4923,0,29150038
3,16,4889,0,29150227
2,73,4966,0,29150806
1,88,4930,0,29151192
0,533,4966,0,29153042
