<version>,<mean_time>,<total>
0,0.0159231,0.207
1,0.0148462,0.193
2,0.0165385,0.215
3,0.0150769,0.196
4,0.0146154,0.19
5,0.0146923,0.191
6,0.0143077,0.186
7,0.0151538,0.197
8,0.0164615,0.214
9,0.0143077,0.186
10,0.0143846,0.187
11,0.015,0.195
12,0.0148462,0.193
13,0.0151538,0.197
14,0.0155385,0.202
15,0.0157692,0.205
16,0.0151538,0.197
17,0.0155385,0.202
18,0.0137692,0.179
19,0.0151538,0.197
20,0.0126154,0.164
21,0.0147692,0.192
22,0.0147692,0.192
23,0.015,0.195
24,0.0145385,0.189
25,0.0136154,0.177
26,0.0158462,0.206
27,0.0153077,0.199
28,0.0139231,0.181
29,0.0128462,0.167
30,0.0143077,0.186
31,0.0137692,0.179
32,0.0150769,0.196
33,0.0139231,0.181
34,0.0146154,0.19
35,0.0139231,0.181
36,0.0142308,0.185
37,0.0145385,0.189
38,0.0144615,0.188
39,0.0153846,0.2
40,0.0146923,0.191
41,0.0138462,0.18
42,0.0137692,0.179
43,0.0146923,0.191
44,0.0128462,0.167
45,0.0123846,0.161
46,0.0133077,0.173
47,0.0136154,0.177
48,0.0133846,0.174
49,0.0139231,0.181
50,0.0140769,0.183
51,0.014,0.182
52,0.0129231,0.168
53,0.0139231,0.181
54,0.0143846,0.187
55,0.0140769,0.183
56,0.0125385,0.163
57,0.0130769,0.17
58,0.0141538,0.184
59,0.013,0.169
60,0.0133846,0.174
61,0.0135385,0.176
62,0.0136923,0.178
63,0.0137692,0.179
64,0.0133077,0.173
65,0.0139231,0.181
66,0.0138462,0.18
67,0.0140769,0.183
68,0.0135385,0.176
69,0.0142308,0.185
70,0.0147692,0.192
71,0.0133846,0.174
72,0.0136154,0.177
73,0.0120769,0.157
74,0.0139231,0.181
75,0.014,0.182
76,0.0129231,0.168
77,0.013,0.169
78,0.0122308,0.159
79,0.0135385,0.176
80,0.0137692,0.179
81,0.0132308,0.172
82,0.0133077,0.173
83,0.0138462,0.18
84,0.0140769,0.183
85,0.0129231,0.168
86,0.0134615,0.175
87,0.0129231,0.168
