<version>,<mean_time>,<total>
0,0.00114286,0.056
1,0.00589796,0.289
2,0.00995918,0.488
3,0.0114694,0.562
4,0.0143673,0.704
5,0.0153469,0.752
6,0.0178571,0.875
7,0.0196939,0.965
8,0.0212041,1.039
9,0.0227755,1.116
10,0.0252245,1.236
11,0.0272245,1.334
12,0.0286122,1.402
13,0.0312857,1.533
14,0.0530612,2.6
15,0.0621837,3.047
16,0.071102,3.484
17,0.0791633,3.879
18,0.0840612,4.119
19,0.0973469,4.77
20,0.101796,4.988
21,0.107286,5.257
22,0.108286,5.306
23,0.117469,5.756
24,0.127551,6.25
25,0.134898,6.61
26,0.140041,6.862
27,0.146327,7.17
28,0.153449,7.519
29,0.16151,7.914
30,0.167714,8.218
31,0.17351,8.502
32,0.178878,8.765
33,0.187367,9.181
34,0.192898,9.452
35,0.19651,9.629
36,0.208469,10.215
37,0.213735,10.473
38,0.219592,10.76
39,0.227694,11.157
40,0.234143,11.473
41,0.239531,11.737
42,0.24849,12.176
43,0.253306,12.412
44,0.259776,12.729
45,0.271898,13.323
46,0.277204,13.583
47,0.281837,13.81
48,0.287163,14.071
49,0.293102,14.362
50,0.300857,14.742
51,0.301959,14.796
52,0.306878,15.037
53,0.311939,15.285
54,0.315245,15.447
55,0.321,15.729
56,0.326959,16.021
57,0.330163,16.178
58,0.333837,16.358
59,0.334755,16.403
60,0.344918,16.901
61,0.348857,17.094
62,0.34949,17.125
63,0.356265,17.457
64,0.36249,17.762
65,0.367122,17.989
66,0.367041,17.985
67,0.37249,18.252
68,0.377837,18.514
69,0.383796,18.806
70,0.384388,18.835
71,0.390449,19.132
72,0.395184,19.364
73,0.399633,19.582
74,0.404041,19.798
75,0.407857,19.985
76,0.413592,20.266
77,0.415959,20.382
78,0.416776,20.422
79,0.420857,20.622
80,0.424551,20.803
81,0.429265,21.034
82,0.435796,21.354
83,0.437551,21.44
84,0.440143,21.567
85,0.445224,21.816
86,0.448429,21.973
87,0.450265,22.063
