##ver, min, mean, max, stddev, count, total
0 0.0 0.3076923076923078 4.0 1.1094003924504583 13 4.0
1 0.0 0.38461538461538464 2.0 0.650443635587991 13 5.0
2 0.0 0.23076923076923073 1.0 0.43852900965351466 13 3.0
3 0.0 0.23076923076923073 1.0 0.4385290096535146 13 3.0
4 0.0 0.38461538461538464 2.0 0.650443635587991 13 5.0
5 0.0 0.23076923076923073 2.0 0.599144689515278 13 3.0
6 0.0 0.30769230769230765 2.0 0.6304251719561151 13 4.0
7 0.0 0.46153846153846145 2.0 0.6602252917735247 13 6.0
8 0.0 0.5384615384615384 2.0 0.6602252917735248 13 7.0
9 0.0 0.4615384615384615 2.0 0.6602252917735248 13 6.0
10 0.0 0.38461538461538464 3.0 0.8697184926229038 13 5.0
11 0.0 0.38461538461538464 2.0 0.650443635587991 13 5.0
12 0.0 0.5384615384615385 3.0 0.8770580193070292 13 7.0
13 0.0 0.6153846153846154 3.0 0.869718492622904 13 8.0
14 0.0 0.6153846153846154 3.0 0.869718492622904 13 8.0
15 0.0 0.846153846153846 4.0 1.0681880176381127 13 11.0
16 0.0 0.923076923076923 3.0 0.7595545253127501 13 12.0
17 0.0 0.6153846153846154 3.0 0.869718492622904 13 8.0
18 0.0 0.7692307692307693 3.0 0.8320502943378436 13 10.0
19 0.0 1.0 4.0 1.0 13 13.0
20 0.0 0.923076923076923 3.0 0.7595545253127501 13 12.0
21 0.0 0.6923076923076923 3.0 0.8548504142651101 13 9.0
22 0.0 0.923076923076923 3.0 0.7595545253127501 13 12.0
23 0.0 1.0769230769230769 4.0 0.9540735874430287 13 14.0
24 0.0 1.076923076923077 4.0 0.9540735874430285 13 14.0
25 0.0 0.9230769230769229 4.0 1.0377490433255416 13 12.0
26 0.0 0.923076923076923 4.0 1.0377490433255419 13 12.0
27 0.0 1.0 4.0 1.0 13 13.0
28 0.0 1.1538461538461537 4.0 0.8987170342729167 13 15.0
29 1.0 1.3076923076923077 5.0 1.1094003924504585 13 17.0
30 1.0 1.3076923076923077 5.0 1.1094003924504585 13 17.0
31 0.0 1.307692307692308 5.0 1.1821319289469758 13 17.0
32 1.0 1.3846153846153846 5.0 1.1208970766356097 13 18.0
33 1.0 1.3076923076923077 5.0 1.1094003924504585 13 17.0
34 1.0 1.3076923076923077 4.0 0.8548504142651103 13 17.0
35 1.0 1.3846153846153846 5.0 1.1208970766356097 13 18.0
