<version>,<mean_time>,<total>
0,0.00107692,0.014
1,0.00576923,0.075
2,0.0104615,0.136
3,0.0212308,0.276
4,0.0159231,0.207
5,0.0237692,0.309
6,0.0273077,0.355
7,0.0292308,0.38
8,0.0329231,0.428
9,0.0343077,0.446
10,0.0377692,0.491
11,0.0406923,0.529
12,0.0442308,0.575
13,0.0484615,0.63
14,0.0486154,0.632
15,0.0522308,0.679
16,0.0555385,0.722
17,0.0586154,0.762
18,0.0613077,0.797
19,0.0645385,0.839
20,0.0677692,0.881
21,0.0713077,0.927
22,0.0743846,0.967
23,0.0777692,1.011
24,0.0810769,1.054
25,0.0848462,1.103
26,0.0893077,1.161
27,0.0913077,1.187
28,0.0954615,1.241
29,0.0986154,1.282
30,0.101462,1.319
31,0.103923,1.351
32,0.106462,1.384
33,0.110769,1.44
34,0.114538,1.489
35,0.117769,1.531
36,0.121538,1.58
37,0.124154,1.614
38,0.128462,1.67
39,0.133846,1.74
40,0.135615,1.763
41,0.139077,1.808
42,0.142385,1.851
43,0.147154,1.913
44,0.152308,1.98
45,0.156,2.028
46,0.160846,2.091
47,0.165231,2.148
48,0.169308,2.201
49,0.173769,2.259
50,0.178154,2.316
51,0.182692,2.375
52,0.187231,2.434
53,0.190692,2.479
54,0.195692,2.544
55,0.200462,2.606
56,0.205615,2.673
57,0.208769,2.714
58,0.214769,2.792
59,0.220692,2.869
60,0.223615,2.907
61,0.225462,2.931
62,0.229154,2.979
63,0.234385,3.047
64,0.238923,3.106
65,0.240615,3.128
66,0.248231,3.227
67,0.253231,3.292
68,0.259923,3.379
69,0.261231,3.396
70,0.267077,3.472
71,0.284077,3.693
72,0.291077,3.784
73,0.305308,3.969
74,0.300846,3.911
75,0.315308,4.099
76,0.322692,4.195
77,0.321615,4.181
78,0.327077,4.252
79,0.336154,4.37
80,0.347538,4.518
81,0.353077,4.59
82,0.354231,4.605
83,0.361538,4.7
84,0.370923,4.822
85,0.370385,4.815
86,0.370462,4.816
87,0.376,4.888
88,0.378231,4.917
89,0.381538,4.96
90,0.384846,5.003
91,0.401,5.213
92,0.399308,5.191
93,0.395923,5.147
94,0.399462,5.193
95,0.404462,5.258
96,0.417538,5.428
97,0.419615,5.455
98,0.416077,5.409
99,0.425462,5.531
100,0.431769,5.613
101,0.432846,5.627
102,0.437462,5.687
103,0.444,5.772
104,0.450846,5.861
105,0.447308,5.815
106,0.452231,5.879
107,0.453615,5.897
108,0.459462,5.973
109,0.465846,6.056
110,0.467923,6.083
111,0.472077,6.137
112,0.471846,6.134
113,0.479615,6.235
114,0.482462,6.272
115,0.488308,6.348
116,0.488615,6.352
117,0.492615,6.404
118,0.498077,6.475
119,0.498923,6.486
120,0.502308,6.53
121,0.510538,6.637
122,0.509769,6.627
123,0.516846,6.719
124,0.524308,6.816
125,0.524846,6.823
126,0.531846,6.914
127,0.530462,6.896
128,0.541538,7.04
129,0.539769,7.017
130,0.546385,7.103
131,0.547385,7.116
132,0.555308,7.219
133,0.567692,7.38
134,0.572154,7.438
135,0.571538,7.43
136,0.577846,7.512
137,0.578,7.514
138,0.587462,7.637
139,0.590615,7.678
140,0.591154,7.685
141,0.594615,7.73
142,0.601846,7.824
143,0.605769,7.875
144,0.607077,7.892
145,0.612,7.956
146,0.617538,8.028
147,0.618308,8.038
148,0.624231,8.115
149,0.629538,8.184
150,0.629077,8.178
151,0.637385,8.286
152,0.638692,8.303
153,0.640385,8.325
154,0.650077,8.451
155,0.649077,8.438
156,0.657154,8.543
157,0.659231,8.57
158,0.658462,8.56
159,0.664923,8.644
160,0.664615,8.64
161,0.670769,8.72
162,0.672846,8.747
163,0.675462,8.781
164,0.685077,8.906
165,0.684462,8.898
166,0.689462,8.963
167,0.694077,9.023
168,0.693538,9.016
169,0.701154,9.115
170,0.707769,9.201
171,0.708231,9.207
172,0.71,9.23
173,0.711769,9.253
174,0.718231,9.337
175,0.722923,9.398
176,0.724154,9.414
177,0.731077,9.504
178,0.731308,9.507
179,0.741769,9.643
180,0.744154,9.674
181,0.745308,9.689
182,0.753231,9.792
183,0.752462,9.782
184,0.756615,9.836
185,0.763077,9.92
186,0.766154,9.96
187,0.766923,9.97
188,0.768385,9.989
189,0.774769,10.072
190,0.780615,10.148
191,0.784,10.192
192,0.788462,10.25
193,0.794538,10.329
194,0.791,10.283
195,0.8,10.4
196,0.801769,10.423
197,0.801077,10.414
198,0.804,10.452
199,0.805231,10.468
200,0.814538,10.589
201,0.817308,10.625
202,0.823231,10.702
203,0.822923,10.698
204,0.831692,10.812
205,0.831923,10.815
206,0.841,10.933
207,0.844923,10.984
208,0.840154,10.922
209,0.844385,10.977
210,0.847462,11.017
211,0.855077,11.116
212,0.859692,11.176
213,0.858308,11.158
214,0.863615,11.227
215,0.869769,11.307
216,0.947615,12.319
217,0.871308,11.327
218,0.874923,11.374
219,0.882462,11.472
220,0.879769,11.437
221,0.882077,11.467
222,0.889,11.557
223,0.890462,11.576
224,0.896615,11.656
225,0.903923,11.751
226,0.903769,11.749
227,0.912231,11.859
228,0.911231,11.846
229,0.918385,11.939
230,0.925231,12.028
231,0.931,12.103
232,0.929231,12.08
233,0.935923,12.167
234,0.939846,12.218
235,0.942231,12.249
236,0.946462,12.304
237,0.955923,12.427
238,0.953462,12.395
239,0.960154,12.482
240,0.966308,12.562
241,0.967923,12.583
242,0.963538,12.526
243,0.971462,12.629
244,0.976462,12.694
245,0.984769,12.802
246,0.983308,12.783
247,0.987462,12.837
248,0.993,12.909
249,0.997615,12.969
250,0.996923,12.96
251,1.00531,13.069
252,1.00754,13.098
253,1.01238,13.161
254,1.01269,13.165
255,1.017,13.221
256,1.02123,13.276
257,1.02531,13.329
258,1.02546,13.331
259,1.03646,13.474
260,1.03638,13.473
261,1.04177,13.543
262,1.04631,13.602
263,1.04577,13.595
264,1.04631,13.602
265,1.05862,13.762
266,1.05592,13.727
267,1.06169,13.802
268,1.06292,13.818
269,1.07154,13.93
270,1.07369,13.958
271,1.07815,14.016
272,1.08038,14.045
273,1.08238,14.071
274,1.09123,14.186
275,1.09631,14.252
276,1.09354,14.216
277,1.09631,14.252
278,1.10531,14.369
279,1.10662,14.386
280,1.11192,14.455
281,1.116,14.508
282,1.116,14.508
283,1.12369,14.608
284,1.12408,14.613
285,1.13,14.69
286,1.12831,14.668
287,1.13438,14.747
288,1.13615,14.77
289,1.13815,14.796
290,1.14562,14.893
291,1.14608,14.899
292,1.15077,14.96
293,1.16323,15.122
294,1.16931,15.201
295,1.16723,15.174
296,1.17308,15.25
297,1.17831,15.318
298,1.18246,15.372
299,1.18315,15.381
300,1.18515,15.407
301,1.19177,15.493
302,1.193,15.509
303,1.20077,15.61
304,1.20508,15.666
305,1.20615,15.68
306,1.20923,15.72
307,1.21862,15.842
308,1.22092,15.872
309,1.21754,15.828
310,1.22138,15.878
311,1.22738,15.956
312,1.23169,16.012
313,1.23677,16.078
314,1.23162,16.011
315,1.24215,16.148
316,1.24485,16.183
317,1.24331,16.163
318,1.24569,16.194
319,1.24831,16.228
320,1.25377,16.299
321,1.26,16.38
322,1.25938,16.372
323,1.27131,16.527
324,1.27015,16.512
325,1.282,16.666
326,1.27731,16.605
327,1.28069,16.649
328,1.28569,16.714
329,1.29315,16.811
330,1.29454,16.829
331,1.30123,16.916
332,1.30892,17.016
333,1.30446,16.958
334,1.30969,17.026
335,1.31377,17.079
336,1.31569,17.104
337,1.31746,17.127
338,1.32315,17.201
339,1.32946,17.283
340,1.32869,17.273
341,1.33923,17.41
342,1.35546,17.621
343,1.34477,17.482
344,1.34908,17.538
345,1.34977,17.547
346,1.35438,17.607
347,1.35892,17.666
348,1.36554,17.752
349,1.36662,17.766
350,1.36969,17.806
351,1.37692,17.9
352,1.37769,17.91
353,1.377,17.901
354,1.38885,18.055
355,1.38554,18.012
356,1.38938,18.062
357,1.39331,18.113
358,1.40523,18.268
359,1.40285,18.237
360,1.40438,18.257
361,1.41692,18.42
362,1.41346,18.375
363,1.423,18.499
364,1.42046,18.466
365,1.42285,18.497
366,1.42431,18.516
367,1.42762,18.559
368,1.43008,18.591
369,1.43462,18.65
370,1.441,18.733
371,1.44015,18.722
372,1.45,18.85
373,1.45208,18.877
374,1.45254,18.883
375,1.45546,18.921
376,1.46215,19.008
377,1.465,19.045
378,1.46746,19.077
379,1.47669,19.197
380,1.47992,19.239
381,1.48415,19.294
382,1.48346,19.285
383,1.488,19.344
384,1.48915,19.359
385,1.49608,19.449
386,1.498,19.474
387,1.5,19.5
388,1.51062,19.638
389,1.50954,19.624
390,1.51338,19.674
391,1.51462,19.69
392,1.51754,19.728
393,1.52377,19.809
394,1.53085,19.901
395,1.53292,19.928
396,1.55046,20.156
397,1.542,20.046
398,1.541,20.033
399,1.55262,20.184
400,1.55023,20.153
401,1.55308,20.19
402,1.55823,20.257
403,1.55954,20.274
404,1.56392,20.331
405,1.56777,20.381
406,1.56862,20.392
407,1.57562,20.483
408,1.58192,20.565
409,1.59223,20.699
410,1.58285,20.577
411,1.58562,20.613
412,1.58546,20.611
413,1.58946,20.663
414,1.59462,20.73
415,1.59962,20.795
416,1.60538,20.87
417,1.60262,20.834
418,1.61077,20.94
419,1.61277,20.966
420,1.61954,21.054
421,1.62569,21.134
422,1.62992,21.189
423,1.62946,21.183
424,1.639,21.307
425,1.63546,21.261
426,1.63908,21.308
427,1.64431,21.376
428,1.65408,21.503
429,1.65238,21.481
430,1.65669,21.537
431,1.65815,21.556
432,1.66031,21.584
433,1.664,21.632
434,1.67215,21.738
435,1.66823,21.687
436,1.67938,21.832
437,1.678,21.814
438,1.68262,21.874
439,1.69046,21.976
440,1.69662,22.056
441,1.691,21.983
442,1.699,22.087
443,1.70162,22.121
444,1.70308,22.14
445,1.71069,22.239
446,1.71708,22.322
447,1.71654,22.315
448,1.72231,22.39
449,1.72662,22.446
450,1.72692,22.45
451,1.73469,22.551
452,1.73962,22.615
453,1.73846,22.6
454,1.73854,22.601
455,1.74285,22.657
456,1.75285,22.787
457,1.75031,22.754
458,1.76254,22.913
459,1.76077,22.89
460,1.762,22.906
461,1.76354,22.926
462,1.77285,23.047
463,1.77738,23.106
464,1.77785,23.112
465,1.78262,23.174
466,1.78762,23.239
467,1.78715,23.233
468,1.79854,23.381
469,1.79392,23.321
470,1.79608,23.349
471,1.80185,23.424
472,1.804,23.452
473,1.80662,23.486
474,1.81346,23.575
475,1.82215,23.688
476,1.82423,23.715
477,1.825,23.725
478,1.82346,23.705
479,1.83292,23.828
480,1.83162,23.811
481,1.84015,23.922
482,1.85077,24.06
483,1.84392,23.971
484,1.85538,24.12
485,1.85569,24.124
486,1.85838,24.159
487,1.86254,24.213
488,2.33292,30.328
489,2.16092,28.092
490,1.87308,24.35
491,1.872,24.336
492,1.88277,24.476
493,1.88577,24.515
494,1.88192,24.465
495,1.89077,24.58
496,1.89285,24.607
497,1.89615,24.65
498,1.89762,24.669
499,1.90369,24.748
500,1.90738,24.796
501,1.91192,24.855
502,1.91715,24.923
503,1.92092,24.972
504,1.92338,25.004
505,1.92646,25.044
506,1.937,25.181
507,1.93808,25.195
508,1.945,25.285
509,1.94077,25.23
510,1.94577,25.295
511,1.95123,25.366
512,1.95277,25.386
513,1.96423,25.535
514,1.96,25.48
515,1.96415,25.534
516,1.97108,25.624
517,1.973,25.649
518,1.98515,25.807
519,1.97815,25.716
520,1.98662,25.826
521,1.98862,25.852
522,1.99162,25.891
523,1.999,25.987
524,1.99915,25.989
525,1.99823,25.977
526,2.00908,26.118
527,2.00862,26.112
528,2.01454,26.189
529,2.01315,26.171
530,2.01662,26.216
531,2.02331,26.303
532,2.034,26.442
533,2.03492,26.454
534,2.03,26.39
535,2.03462,26.45
536,2.03815,26.496
537,2.049,26.637
538,2.04954,26.644
539,2.05077,26.66
540,2.05277,26.686
541,2.05923,26.77
542,2.05877,26.764
543,2.06685,26.869
544,2.07031,26.914
545,2.07262,26.944
546,2.08415,27.094
547,2.08415,27.094
548,2.09038,27.175
549,2.08592,27.117
550,2.09692,27.26
551,2.09731,27.265
552,2.10869,27.413
553,2.10131,27.317
554,2.10177,27.323
555,2.113,27.469
556,2.10992,27.429
557,2.11977,27.557
558,2.11862,27.542
559,2.12677,27.648
560,2.12462,27.62
561,2.13238,27.721
562,2.13115,27.705
563,2.13808,27.795
564,2.14415,27.874
565,2.14915,27.939
566,2.14846,27.93
567,2.14977,27.947
568,2.152,27.976
569,2.15708,28.042
570,2.16062,28.088
571,2.16677,28.168
572,2.16923,28.2
573,2.17754,28.308
574,2.17385,28.26
575,2.18031,28.344
576,2.18038,28.345
577,2.18008,28.341
578,2.18792,28.443
579,2.19477,28.532
580,2.19546,28.541
581,2.19846,28.58
582,2.20569,28.674
583,2.21269,28.765
584,2.21077,28.74
585,2.21815,28.836
586,2.21738,28.826
587,2.22031,28.864
588,2.22077,28.87
589,2.24208,29.147
590,2.24362,29.167
591,2.24046,29.126
592,2.23538,29.06
593,2.24292,29.158
594,2.24823,29.227
595,2.25369,29.298
596,2.25538,29.32
597,2.26131,29.397
598,2.27038,29.515
599,2.26623,29.461
600,2.27192,29.535
601,2.272,29.536
602,2.27785,29.612
603,2.28462,29.7
604,2.28962,29.765
605,2.29146,29.789
606,2.29515,29.837
607,2.30085,29.911
608,2.30092,29.912
609,2.30415,29.954
610,2.29992,29.899
611,2.31392,30.081
612,2.31285,30.067
613,2.31592,30.107
614,2.322,30.186
615,2.325,30.225
616,2.32992,30.289
617,2.33308,30.33
618,2.33108,30.304
619,2.33638,30.373
620,2.34092,30.432
621,2.34438,30.477
622,2.34985,30.548
623,2.35323,30.592
624,2.36854,30.791
625,2.36377,30.729
626,2.36408,30.733
627,2.36577,30.755
628,2.36777,30.781
629,2.37631,30.892
630,2.37854,30.921
631,2.37862,30.922
632,2.39108,31.084
633,2.38992,31.069
634,2.392,31.096
635,2.39838,31.179
636,2.39646,31.154
637,2.40292,31.238
638,2.404,31.252
639,2.40838,31.309
640,2.40792,31.303
641,2.42815,31.566
642,2.41592,31.407
643,2.42531,31.529
644,2.44077,31.73
645,2.44123,31.736
646,2.42954,31.584
647,2.43592,31.667
648,2.43785,31.692
649,2.45492,31.914
650,2.45131,31.867
651,2.45008,31.851
652,2.45785,31.952
653,2.46831,32.088
654,2.46138,31.998
655,2.46431,32.036
656,2.47323,32.152
657,2.47254,32.143
658,2.47592,32.187
659,2.47646,32.194
660,2.48092,32.252
661,2.49108,32.384
662,2.491,32.383
663,2.49931,32.491
664,2.49692,32.46
665,2.50646,32.584
666,2.50569,32.574
667,2.51062,32.638
668,2.51123,32.646
669,2.51954,32.754
670,2.53238,32.921
671,2.52562,32.833
672,2.53662,32.976
673,2.53538,32.96
674,2.54462,33.08
675,2.54769,33.12
676,2.54231,33.05
677,2.54354,33.066
678,2.55008,33.151
679,2.55338,33.194
680,2.55623,33.231
681,2.56838,33.389
682,2.568,33.384
