<version>,<mean_time>,<total>
0,0.230306,11.285
1,0.224265,10.989
2,0.224388,10.995
3,0.221286,10.843
4,0.221327,10.845
5,0.225061,11.028
6,0.225694,11.059
7,0.22498,11.024
8,0.227776,11.161
9,0.23102,11.32
10,0.232551,11.395
11,0.231592,11.348
12,0.232898,11.412
13,0.235551,11.542
14,0.236939,11.61
15,0.237735,11.649
16,0.239184,11.72
17,0.243408,11.927
18,0.243082,11.911
19,0.245367,12.023
20,0.245796,12.044
21,0.250755,12.287
22,0.250796,12.289
23,0.253592,12.426
24,0.254531,12.472
25,0.257224,12.604
26,0.259694,12.725
27,0.261673,12.822
28,0.261592,12.818
29,0.264102,12.941
30,0.264755,12.973
31,0.268796,13.171
32,0.267878,13.126
33,0.27202,13.329
34,0.272143,13.335
35,0.274592,13.455
36,0.277449,13.595
37,0.277408,13.593
38,0.280633,13.751
39,0.28102,13.77
40,0.281388,13.788
41,0.285571,13.993
42,0.285061,13.968
43,0.287531,14.089
44,0.290755,14.247
45,0.299204,14.661
46,0.302184,14.807
47,0.306347,15.011
48,0.310612,15.22
49,0.317878,15.576
50,0.323469,15.85
51,0.326245,15.986
52,0.328204,16.082
53,0.330653,16.202
54,0.334837,16.407
55,0.345857,16.947
56,0.349469,17.124
57,0.352041,17.25
58,0.353673,17.33
59,0.355857,17.437
60,0.361898,17.733
61,0.360653,17.672
62,0.363061,17.79
63,0.369796,18.12
64,0.372898,18.272
65,0.375082,18.379
66,0.376694,18.458
67,0.380735,18.656
68,0.381184,18.678
69,0.387673,18.996
70,0.392857,19.25
71,0.389939,19.107
72,0.396776,19.442
73,0.397347,19.47
74,0.401143,19.656
75,0.404082,19.8
76,0.408224,20.003
77,0.409592,20.07
78,0.410449,20.112
79,0.415122,20.341
80,0.417449,20.455
81,0.417327,20.449
82,0.425469,20.848
83,0.422551,20.705
84,0.425347,20.842
85,0.433061,21.22
86,0.430837,21.111
87,0.438408,21.482
88,0.436653,21.396
89,0.444796,21.795
90,0.445265,21.818
91,0.449184,22.01
92,0.456163,22.352
93,0.457184,22.402
94,0.460653,22.572
95,0.46298,22.686
96,0.462163,22.646
97,0.467633,22.914
98,0.470735,23.066
99,0.472224,23.139
100,0.476592,23.353
101,0.478122,23.428
102,0.484571,23.744
103,0.488592,23.941
104,0.488633,23.943
105,0.489082,23.965
106,0.488122,23.918
107,0.489837,24.002
108,0.495755,24.292
109,0.500816,24.54
110,0.505959,24.792
111,0.507592,24.872
112,0.508735,24.928
113,0.516082,25.288
114,0.518041,25.384
115,0.521571,25.557
116,0.523204,25.637
117,0.522163,25.586
118,0.527918,25.868
119,0.530265,25.983
120,0.530571,25.998
121,0.535327,26.231
122,0.539204,26.421
123,0.543061,26.61
124,0.545612,26.735
125,0.550571,26.978
126,0.551429,27.02
127,0.559224,27.402
128,0.554551,27.173
129,0.562592,27.567
130,0.564653,27.668
131,0.568857,27.874
132,0.572041,28.03
133,0.57402,28.127
134,0.582857,28.56
135,0.582367,28.536
136,0.587408,28.783
137,0.592327,29.024
138,0.591939,29.005
139,0.596367,29.222
140,0.599837,29.392
141,0.602714,29.533
142,0.606449,29.716
143,0.60802,29.793
144,0.608061,29.795
145,0.610449,29.912
146,0.613469,30.06
147,0.615224,30.146
148,0.615163,30.143
149,0.62251,30.503
150,0.624143,30.583
151,0.630714,30.905
152,0.630102,30.875
153,0.627735,30.759
154,0.633224,31.028
155,0.637224,31.224
156,0.640408,31.38
157,0.645653,31.637
158,0.646531,31.68
159,0.649347,31.818
160,0.652551,31.975
161,0.653306,32.012
162,0.655061,32.098
163,0.658857,32.284
164,0.662653,32.47
165,0.664306,32.551
166,0.665184,32.594
167,0.666673,32.667
168,0.667347,32.7
169,0.670286,32.844
170,0.671429,32.9
171,0.672449,32.95
172,0.67251,32.953
173,0.676388,33.143
174,0.675265,33.088
175,0.679163,33.279
176,0.682673,33.451
177,0.685796,33.604
178,0.690449,33.832
179,0.691082,33.863
180,0.690388,33.829
181,0.698041,34.204
182,0.700163,34.308
183,0.703837,34.488
184,0.703898,34.491
185,0.705388,34.564
186,0.708367,34.71
187,0.71398,34.985
188,0.712959,34.935
189,0.716184,35.093
190,0.718327,35.198
191,0.721796,35.368
192,0.722755,35.415
193,0.72651,35.599
194,0.726245,35.586
195,0.732857,35.91
196,0.732857,35.91
197,0.737755,36.15
198,0.741204,36.319
199,0.740612,36.29
200,0.741612,36.339
201,0.744592,36.485
202,0.748816,36.692
203,0.749408,36.721
204,0.755306,37.01
205,0.758939,37.188
206,0.757102,37.098
207,0.763796,37.426
208,0.761143,37.296
209,0.76749,37.607
210,0.765531,37.511
211,0.773531,37.903
212,0.772714,37.863
213,0.779878,38.214
214,0.780531,38.246
215,0.779122,38.177
216,0.783143,38.374
217,0.786327,38.53
218,0.785592,38.494
219,0.791061,38.762
220,0.792633,38.839
221,0.786816,38.554
222,0.793878,38.9
223,0.796816,39.044
224,0.798388,39.121
225,0.802061,39.301
226,0.805959,39.492
227,0.80502,39.446
228,0.81198,39.787
229,0.808408,39.612
230,0.817531,40.059
231,0.819286,40.145
232,0.821408,40.249
233,0.833286,40.831
234,0.899408,44.071
235,0.892,43.708
236,0.868918,42.577
237,0.831306,40.734
238,0.832653,40.8
239,0.835082,40.919
240,0.837041,41.015
241,0.840612,41.19
242,0.843347,41.324
243,0.850143,41.657
244,0.844531,41.382
245,0.849429,41.622
246,0.856163,41.952
247,0.854082,41.85
248,0.857592,42.022
249,0.859857,42.133
250,0.865551,42.412
251,0.867959,42.53
252,0.864653,42.368
253,0.869918,42.626
254,0.872061,42.731
255,0.874816,42.866
256,0.878204,43.032
257,0.876061,42.927
258,0.879653,43.103
259,0.881224,43.18
260,0.885143,43.372
261,0.884633,43.347
262,0.889327,43.577
263,0.891571,43.687
264,0.895735,43.891
265,0.895918,43.9
266,0.895735,43.891
267,0.896735,43.94
268,0.898265,44.015
269,0.900918,44.145
270,0.902041,44.2
271,0.905143,44.352
272,0.909694,44.575
273,0.910449,44.612
274,0.911347,44.656
275,0.914347,44.803
276,0.914796,44.825
277,0.919224,45.042
278,0.924939,45.322
279,0.921837,45.17
280,0.921776,45.167
281,0.928306,45.487
282,0.932408,45.688
283,0.931612,45.649
284,0.933755,45.754
285,0.938306,45.977
286,0.941061,46.112
287,0.944204,46.266
288,0.941959,46.156
289,0.943,46.207
290,0.94898,46.5
291,0.953816,46.737
292,0.952592,46.677
293,0.957163,46.901
294,0.960673,47.073
295,0.962939,47.184
296,0.963122,47.193
297,0.965143,47.292
298,0.965408,47.305
299,0.969878,47.524
300,0.966163,47.342
301,0.971449,47.601
302,0.975041,47.777
303,0.976327,47.84
304,0.975469,47.798
305,0.981735,48.105
306,0.979306,47.986
307,0.982367,48.136
308,0.984265,48.229
309,0.986163,48.322
310,0.984224,48.227
311,0.989653,48.493
312,0.992714,48.643
313,0.991653,48.591
314,0.993939,48.703
315,0.99551,48.78
316,0.997102,48.858
317,0.998673,48.935
318,0.998592,48.931
319,1.00292,49.143
320,1.00888,49.435
321,1.00686,49.336
322,1.00641,49.314
323,1.01245,49.61
324,1.01739,49.852
325,1.02061,50.01
326,1.02143,50.05
327,1.0231,50.132
328,1.02667,50.307
329,1.02902,50.422
330,1.03131,50.534
331,1.02992,50.466
332,1.03388,50.66
333,1.03302,50.618
334,1.03349,50.641
335,1.03745,50.835
336,1.04061,50.99
337,1.04102,51.01
338,1.04794,51.349
339,1.04841,51.372
340,1.058,51.842
341,1.05816,51.85
342,1.05678,51.782
343,1.05855,51.869
344,1.06139,52.008
345,1.06253,52.064
346,1.06427,52.149
347,1.06616,52.242
348,1.07282,52.568
349,1.0749,52.67
350,1.07767,52.806
351,1.0861,53.219
352,1.0839,53.111
353,1.08369,53.101
354,1.08471,53.151
