<version>,<mean_time>,<total>
0,0.0257692,0.335
1,0.0406923,0.529
2,0.0367692,0.478
3,0.0353846,0.46
4,0.041,0.533
5,0.0452308,0.588
6,0.0478462,0.622
7,0.0512308,0.666
8,0.0553077,0.719
9,0.0593077,0.771
10,0.0626923,0.815
11,0.0643077,0.836
12,0.0686923,0.893
13,0.0693077,0.901
14,0.0743077,0.966
15,0.0762308,0.991
16,0.0813846,1.058
17,0.0846154,1.1
18,0.0873846,1.136
19,0.091,1.183
20,0.0940769,1.223
21,0.0981538,1.276
22,0.100692,1.309
23,0.104692,1.361
24,0.107846,1.402
25,0.111846,1.454
26,0.115692,1.504
27,0.118923,1.546
28,0.122538,1.593
29,0.126538,1.645
30,0.130385,1.695
31,0.133,1.729
32,0.136385,1.773
33,0.140923,1.832
34,0.143923,1.871
35,0.147077,1.912
36,0.150308,1.954
37,0.154,2.002
38,0.158154,2.056
39,0.161846,2.104
40,0.164692,2.141
41,0.168615,2.192
42,0.170923,2.222
43,0.176462,2.294
44,0.181154,2.355
45,0.185462,2.411
46,0.191462,2.489
47,0.196538,2.555
48,0.201846,2.624
49,0.206385,2.683
50,0.210923,2.742
51,0.216385,2.813
52,0.219846,2.858
53,0.224154,2.914
54,0.229231,2.98
55,0.236231,3.071
56,0.240385,3.125
57,0.249923,3.249
58,0.248538,3.231
59,0.252385,3.281
60,0.261692,3.402
61,0.274615,3.57
62,0.276231,3.591
63,0.285923,3.717
64,0.294154,3.824
65,0.312154,4.058
66,0.321231,4.176
67,0.319769,4.157
68,0.339923,4.419
69,0.333462,4.335
70,0.346231,4.501
71,0.355769,4.625
72,0.356385,4.633
73,0.367846,4.782
74,0.371538,4.83
75,0.373462,4.855
76,0.380231,4.943
77,0.377308,4.905
78,0.383538,4.986
79,0.383846,4.99
80,0.394538,5.129
81,0.399692,5.196
82,0.401308,5.217
83,0.404846,5.263
84,0.409769,5.327
85,0.411846,5.354
86,0.421769,5.483
87,0.416462,5.414
88,0.422692,5.495
89,0.43,5.59
90,0.429769,5.587
91,0.434,5.642
92,0.441538,5.74
93,0.442154,5.748
94,0.447846,5.822
95,0.450231,5.853
96,0.454769,5.912
97,0.461077,5.994
98,0.461308,5.997
99,0.469615,6.105
100,0.470769,6.12
101,0.479769,6.237
102,0.481385,6.258
103,0.485154,6.307
104,0.484846,6.303
105,0.493385,6.414
106,0.496,6.448
107,0.498462,6.48
108,0.505923,6.577
109,0.507846,6.602
110,0.510692,6.639
111,0.517615,6.729
112,0.520769,6.77
113,0.529538,6.884
114,0.529,6.877
115,0.535385,6.96
116,0.540077,7.021
117,0.542385,7.051
118,0.546615,7.106
119,0.552231,7.179
120,0.556538,7.235
121,0.560154,7.282
122,0.568846,7.395
123,0.570769,7.42
124,0.575769,7.485
125,0.583154,7.581
126,0.579385,7.532
127,0.586231,7.621
128,0.589308,7.661
129,0.592923,7.708
130,0.597615,7.769
131,0.599692,7.796
132,0.605154,7.867
133,0.612308,7.96
134,0.615231,7.998
135,0.620769,8.07
136,0.621154,8.075
137,0.624615,8.12
138,0.626462,8.144
139,0.634538,8.249
140,0.639308,8.311
141,0.640154,8.322
142,0.644692,8.381
143,0.650769,8.46
144,0.658692,8.563
145,0.660462,8.586
146,0.665077,8.646
147,0.671,8.723
148,0.668308,8.688
149,0.670615,8.718
150,0.677154,8.803
151,0.680692,8.849
152,0.683769,8.889
153,0.686692,8.927
154,0.696769,9.058
155,0.695538,9.042
156,0.705615,9.173
157,0.700154,9.102
158,0.709923,9.229
159,0.709615,9.225
160,0.712308,9.26
161,0.715231,9.298
162,0.725846,9.436
163,0.725692,9.434
164,0.730385,9.495
165,0.731769,9.513
166,0.734231,9.545
167,0.738231,9.597
168,0.740692,9.629
169,0.742538,9.653
170,0.755077,9.816
171,0.749846,9.748
172,0.755692,9.824
173,0.759231,9.87
174,0.761231,9.896
175,0.764692,9.941
176,0.767231,9.974
177,0.773308,10.053
178,0.777538,10.108
179,0.780308,10.144
180,0.782,10.166
181,0.786615,10.226
182,0.793538,10.316
183,0.799615,10.395
184,0.804231,10.455
185,0.805385,10.47
186,0.809,10.517
187,0.812231,10.559
188,0.820846,10.671
189,0.822385,10.691
190,0.830231,10.793
191,0.829308,10.781
192,0.835154,10.857
193,0.839462,10.913
194,0.847308,11.015
195,0.845462,10.991
196,0.849615,11.045
197,0.855692,11.124
198,0.858077,11.155
199,0.859308,11.171
200,0.865615,11.253
201,0.867462,11.277
202,0.873769,11.359
203,0.874462,11.368
204,0.88,11.44
205,0.884385,11.497
206,0.883154,11.481
207,0.891538,11.59
208,0.892385,11.601
209,0.897769,11.671
210,0.902077,11.727
211,0.906462,11.784
212,0.911692,11.852
213,0.914538,11.889
214,0.914769,11.892
215,0.921538,11.98
216,0.921231,11.976
217,0.93,12.09
218,0.928077,12.065
219,0.936462,12.174
220,0.936308,12.172
221,0.938154,12.196
222,0.944231,12.275
223,0.95,12.35
224,0.948692,12.333
225,0.955308,12.419
226,0.962231,12.509
227,0.969,12.597
228,0.967231,12.574
229,0.967154,12.573
230,0.974462,12.668
231,0.972385,12.641
232,0.976846,12.699
233,0.994923,12.934
234,0.985615,12.813
235,0.991538,12.89
236,0.995615,12.943
237,1.00354,13.046
238,1.00377,13.049
239,1.004,13.052
240,1.01123,13.146
241,1.01408,13.183
242,1.01677,13.218
243,1.02208,13.287
244,1.02392,13.311
245,1.02923,13.38
246,1.04023,13.523
247,1.04085,13.531
248,1.03715,13.483
249,1.04738,13.616
250,1.04969,13.646
251,1.04677,13.608
252,1.05623,13.731
253,1.05392,13.701
254,1.06131,13.797
255,1.06869,13.893
256,1.06954,13.904
257,1.07269,13.945
258,1.07554,13.982
259,1.08492,14.104
260,1.08062,14.048
261,1.09246,14.202
262,1.09515,14.237
263,1.09269,14.205
264,1.09508,14.236
265,1.10515,14.367
266,1.10292,14.338
267,1.10862,14.412
268,1.12508,14.626
269,1.11146,14.449
270,1.12346,14.605
271,1.12654,14.645
272,1.13254,14.723
273,1.12831,14.668
274,1.13308,14.73
275,1.14292,14.858
276,1.14346,14.865
277,1.14577,14.895
278,1.15277,14.986
279,1.15508,15.016
280,1.15423,15.005
281,1.16146,15.099
282,1.16731,15.175
283,1.16677,15.168
284,1.17238,15.241
285,1.17931,15.331
286,1.17992,15.339
287,1.18662,15.426
288,1.18515,15.407
289,1.19385,15.52
290,1.19408,15.523
291,1.19708,15.562
292,1.19969,15.596
293,1.20254,15.633
294,1.20869,15.713
295,1.21169,15.752
296,1.21508,15.796
297,1.22223,15.889
298,1.22223,15.889
299,1.23092,16.002
300,1.22885,15.975
301,1.23215,16.018
302,1.23908,16.108
303,1.24108,16.134
304,1.24515,16.187
305,1.25077,16.26
306,1.25485,16.313
307,1.25362,16.297
308,1.26362,16.427
309,1.26131,16.397
310,1.26438,16.437
311,1.27154,16.53
312,1.276,16.588
