<version>,<mean_time>,<total>
0,0.561184,27.498
1,0.539837,26.452
2,0.544429,26.677
3,0.526184,25.783
4,0.534388,26.185
5,0.526245,25.786
6,0.53698,26.312
7,0.536735,26.3
8,0.547796,26.842
9,0.535592,26.244
10,0.536571,26.292
11,0.538306,26.377
12,0.533061,26.12
13,0.525694,25.759
14,0.531959,26.066
15,0.526918,25.819
16,0.525857,25.767
17,0.522367,25.596
18,0.527224,25.834
19,0.513204,25.147
20,0.52002,25.481
21,0.525673,25.758
22,0.520653,25.512
23,0.527633,25.854
24,0.522082,25.582
25,0.525429,25.746
26,0.517122,25.339
27,0.513714,25.172
28,0.525184,25.734
29,0.520041,25.482
30,0.492224,24.119
31,0.499653,24.483
32,0.492653,24.14
33,0.485265,23.778
34,0.486429,23.835
35,0.487694,23.897
36,0.490612,24.04
37,0.491612,24.089
38,0.49098,24.058
39,0.502327,24.614
40,0.514694,25.22
41,0.501898,24.593
42,0.491939,24.105
43,0.486388,23.833
44,0.488776,23.95
45,0.486898,23.858
46,0.48802,23.913
47,0.49002,24.011
48,0.488653,23.944
49,0.499429,24.472
50,0.493163,24.165
51,0.488327,23.928
52,0.488796,23.951
53,0.491102,24.064
54,0.488633,23.943
55,0.489,23.961
56,0.490959,24.057
57,0.504959,24.743
58,0.493592,24.186
59,0.49602,24.305
60,0.496061,24.307
61,0.497,24.353
62,0.497694,24.387
63,0.497837,24.394
64,0.49702,24.354
65,0.496816,24.344
66,0.499531,24.477
67,0.508,24.892
68,0.492735,24.144
69,0.491755,24.096
70,0.491735,24.095
71,0.491041,24.061
72,0.491857,24.101
73,0.49349,24.181
74,0.500551,24.527
75,0.492245,24.12
76,0.508041,24.894
77,0.492776,24.146
78,0.502755,24.635
79,0.506571,24.822
80,0.498041,24.404
81,0.506898,24.838
82,0.499469,24.474
83,0.508878,24.935
84,0.498408,24.422
85,0.506918,24.839
86,0.501755,24.586
87,0.507878,24.886
88,0.50102,24.55
89,0.508755,24.929
90,0.501592,24.578
91,0.515265,25.248
92,0.503163,24.655
93,0.512082,25.092
94,0.508265,24.905
95,0.510306,25.005
96,0.503755,24.684
97,0.511633,25.07
98,0.502694,24.632
99,0.510857,25.032
100,0.503,24.647
101,0.509388,24.96
102,0.504612,24.726
103,0.512408,25.108
104,0.501531,24.575
105,0.508796,24.931
106,0.499898,24.495
107,0.514571,25.214
108,0.500857,24.542
109,0.510571,25.018
110,0.500306,24.515
111,0.507898,24.887
112,0.50098,24.548
113,0.509429,24.962
114,0.498857,24.444
115,0.510163,24.998
116,0.499735,24.487
117,0.506469,24.817
118,0.507612,24.873
119,0.528163,25.88
120,0.529306,25.936
121,0.496061,24.307
122,0.498571,24.43
123,0.498408,24.422
124,0.50151,24.574
125,0.500163,24.508
126,0.500388,24.519
127,0.500571,24.528
128,0.500939,24.546
129,0.501959,24.596
130,0.513041,25.139
131,0.497735,24.389
132,0.499408,24.471
133,0.499837,24.492
134,0.50049,24.524
135,0.499102,24.456
136,0.498898,24.446
137,0.500204,24.51
138,0.499388,24.47
139,0.498204,24.412
140,0.499082,24.455
141,0.501735,24.585
142,0.505143,24.752
143,0.498429,24.423
144,0.500327,24.516
145,0.500755,24.537
146,0.50251,24.623
147,0.498163,24.41
148,0.500061,24.503
149,0.502571,24.626
150,0.503082,24.651
151,0.498653,24.434
152,0.499469,24.474
153,0.512612,25.118
154,0.499531,24.477
155,0.501633,24.58
156,0.500347,24.517
157,0.498939,24.448
158,0.504898,24.74
159,0.500449,24.522
160,0.499571,24.479
161,0.501122,24.555
162,0.500571,24.528
163,0.499082,24.455
164,0.499571,24.479
165,0.500714,24.535
166,0.498898,24.446
167,0.500163,24.508
168,0.501388,24.568
169,0.498408,24.422
170,0.500633,24.531
171,0.500449,24.522
172,0.502367,24.616
173,0.503531,24.673
174,0.502184,24.607
175,0.506224,24.805
176,0.501796,24.588
177,0.499918,24.496
178,0.500592,24.529
179,0.499245,24.463
180,0.502878,24.641
