<version>,<mean_time>,<total>
0,0.0380769,0.495
1,0.0373846,0.486
2,0.0373077,0.485
3,0.0365385,0.475
4,0.0356154,0.463
5,0.0366923,0.477
6,0.0347692,0.452
7,0.0354615,0.461
8,0.0350769,0.456
9,0.0348462,0.453
10,0.0347692,0.452
11,0.0363077,0.472
12,0.0349231,0.454
13,0.0350769,0.456
14,0.035,0.455
15,0.0359231,0.467
16,0.0351538,0.457
17,0.0359231,0.467
18,0.0350769,0.456
19,0.0347692,0.452
20,0.0347692,0.452
21,0.0354615,0.461
22,0.0367692,0.478
23,0.0361538,0.47
24,0.0350769,0.456
25,0.0356154,0.463
26,0.0367692,0.478
27,0.0353077,0.459
28,0.0353077,0.459
29,0.0347692,0.452
30,0.035,0.455
31,0.0346923,0.451
32,0.0347692,0.452
33,0.0373846,0.486
34,0.0344615,0.448
35,0.0354615,0.461
36,0.0348462,0.453
37,0.0350769,0.456
38,0.0350769,0.456
39,0.035,0.455
40,0.0354615,0.461
41,0.0356154,0.463
42,0.0353077,0.459
43,0.0347692,0.452
44,0.0363077,0.472
45,0.0353077,0.459
46,0.0365385,0.475
47,0.0368462,0.479
48,0.0365385,0.475
49,0.0378462,0.492
50,0.0356923,0.464
51,0.0360769,0.469
52,0.0357692,0.465
53,0.0349231,0.454
54,0.037,0.481
55,0.0367692,0.478
56,0.0365385,0.475
57,0.0363846,0.473
58,0.0353077,0.459
59,0.0370769,0.482
60,0.0350769,0.456
61,0.0362308,0.471
62,0.0360769,0.469
63,0.0367692,0.478
64,0.0359231,0.467
65,0.0358462,0.466
66,0.0350769,0.456
67,0.0363077,0.472
68,0.0362308,0.471
69,0.0353846,0.46
70,0.0353846,0.46
71,0.0379231,0.493
72,0.0395385,0.514
73,0.0393077,0.511
74,0.0348462,0.453
75,0.035,0.455
76,0.0342308,0.445
77,0.034,0.442
78,0.0345385,0.449
79,0.0343846,0.447
80,0.0349231,0.454
81,0.0356154,0.463
82,0.0356923,0.464
83,0.0351538,0.457
84,0.0357692,0.465
85,0.0354615,0.461
86,0.0358462,0.466
87,0.0336154,0.437
