<version>,<mean_time>,<total>
285,0.742857,36.4
286,0.743816,36.447
287,0.746286,36.568
288,0.748061,36.655
289,0.747755,36.64
290,0.752122,36.854
291,0.755469,37.018
292,0.755673,37.028
293,0.758776,37.18
294,0.760184,37.249
295,0.76398,37.435
296,0.765061,37.488
297,0.765776,37.523
298,0.768776,37.67
299,0.771327,37.795
300,0.773143,37.884
301,0.780204,38.23
302,0.777163,38.081
303,0.780306,38.235
304,0.782408,38.338
305,0.782245,38.33
306,0.787143,38.57
307,0.787612,38.593
308,0.788571,38.64
309,0.788245,38.624
310,0.793306,38.872
311,0.795755,38.992
312,0.799102,39.156
313,0.795388,38.974
314,0.800592,39.229
315,0.802918,39.343
316,0.803061,39.35
317,0.807265,39.556
318,0.807592,39.572
319,0.809122,39.647
320,0.814469,39.909
321,0.813429,39.858
322,0.817082,40.037
323,0.817633,40.064
324,0.818082,40.086
325,0.822388,40.297
326,0.824306,40.391
327,0.825776,40.463
328,0.828429,40.593
329,0.831571,40.747
330,0.834469,40.889
331,0.832143,40.775
332,0.834367,40.884
333,0.835429,40.936
334,0.839633,41.142
335,0.842265,41.271
336,0.838939,41.108
337,0.844122,41.362
338,0.846041,41.456
339,0.846796,41.493
340,0.851082,41.703
341,0.853796,41.836
342,0.854673,41.879
343,0.861163,42.197
344,0.86051,42.165
345,0.863163,42.295
346,0.86449,42.36
347,0.86951,42.606
348,0.868714,42.567
349,0.87002,42.631
350,0.874388,42.845
351,0.87549,42.899
352,0.877837,43.014
353,0.881306,43.184
354,0.880143,43.127
355,0.882388,43.237
356,0.888857,43.554
357,0.889388,43.58
358,0.89251,43.733
359,0.895735,43.891
360,0.89402,43.807
361,0.897082,43.957
362,0.901857,44.191
363,0.900959,44.147
364,0.904224,44.307
365,0.907571,44.471
366,0.907306,44.458
367,0.906714,44.429
368,0.914408,44.806
369,0.913449,44.759
370,0.915898,44.879
371,0.919347,45.048
372,0.919388,45.05
373,0.92102,45.13
374,0.925,45.325
375,0.928796,45.511
376,0.927878,45.466
377,0.928612,45.502
378,0.932735,45.704
379,0.93498,45.814
380,0.937816,45.953
381,0.937857,45.955
382,0.939469,46.034
383,0.941347,46.126
384,0.943755,46.244
385,0.947347,46.42
386,0.946082,46.358
387,0.949163,46.509
388,0.951306,46.614
389,0.952918,46.693
390,0.955612,46.825
391,0.956,46.844
392,0.963898,47.231
393,0.966429,47.355
394,0.966469,47.357
395,0.971429,47.6
396,0.974204,47.736
397,0.972673,47.661
398,0.973735,47.713
399,0.979816,48.011
400,0.980143,48.027
401,0.981143,48.076
402,0.981,48.069
403,0.987551,48.39
404,0.990143,48.517
405,0.991592,48.588
406,0.992286,48.622
407,0.99502,48.756
408,0.997061,48.856
409,0.998245,48.914
410,1.00104,49.051
411,1.00314,49.154
412,1.00267,49.131
413,1.00978,49.479
414,1.00735,49.36
415,1.01316,49.645
416,1.0139,49.681
417,1.01851,49.907
418,1.01649,49.808
419,1.02059,50.009
420,1.02637,50.292
421,1.02324,50.139
422,1.02447,50.199
423,1.03049,50.494
424,1.02978,50.459
425,1.03045,50.492
426,1.07198,52.527
427,1.17902,57.772
428,1.03582,50.755
429,1.04076,50.997
430,1.03959,50.94
431,1.04271,51.093
432,1.04533,51.221
433,1.04708,51.307
434,1.04659,51.283
435,1.0539,51.641
436,1.0542,51.656
437,1.05888,51.885
438,1.05798,51.841
439,1.06257,52.066
440,1.06102,51.99
441,1.06518,52.194
442,1.06429,52.15
443,1.06731,52.298
444,1.07388,52.62
445,1.07588,52.718
446,1.07873,52.858
447,1.07957,52.899
448,1.08759,53.292
449,1.0939,53.601
450,1.09161,53.489
451,1.0952,53.665
452,1.09486,53.648
453,1.09973,53.887
454,1.10129,53.963
455,1.10969,54.375
456,1.10471,54.131
457,1.1062,54.204
458,1.11129,54.453
459,1.11002,54.391
460,1.11037,54.408
461,1.11116,54.447
462,1.11808,54.786
463,1.11976,54.868
464,1.11631,54.699
465,1.12218,54.987
466,1.12537,55.143
467,1.12947,55.344
468,1.13698,55.712
469,1.13345,55.539
470,1.13376,55.554
471,1.13757,55.741
472,1.13935,55.828
473,1.13712,55.719
474,1.1418,55.948
475,1.14131,55.924
476,1.14657,56.182
477,1.14557,56.133
478,1.14908,56.305
479,1.14829,56.266
480,1.15318,56.506
481,1.15647,56.667
482,1.16037,56.858
483,1.16294,56.984
484,1.16067,56.873
485,1.16537,57.103
486,1.16563,57.116
487,1.17014,57.337
488,1.17924,57.783
489,1.17304,57.479
490,1.1771,57.678
491,1.18269,57.952
492,1.17965,57.803
493,1.1828,57.957
494,1.17898,57.77
495,1.18904,58.263
496,1.18751,58.188
497,1.18735,58.18
498,1.18804,58.214
499,1.19096,58.357
500,1.19508,58.559
501,1.19557,58.583
502,1.19518,58.564
503,1.20259,58.927
504,1.20343,58.968
505,1.2088,59.231
506,1.20973,59.277
507,1.21,59.29
508,1.21543,59.556
509,1.21351,59.462
510,1.2149,59.53
511,1.2208,59.819
512,1.21841,59.702
513,1.22018,59.789
514,1.22208,59.882
515,1.22578,60.063
516,1.23057,60.298
517,1.2298,60.26
518,1.23165,60.351
519,1.23788,60.656
520,1.23855,60.689
521,1.24198,60.857
522,1.24163,60.84
523,1.26229,61.852
524,1.24543,61.026
525,1.25247,61.371
526,1.2479,61.147
527,1.25314,61.404
528,1.25437,61.464
529,1.25427,61.459
530,1.25792,61.638
531,1.25865,61.674
532,1.26651,62.059
533,1.26202,61.839
534,1.26953,62.207
535,1.26833,62.148
536,1.26741,62.103
537,1.26931,62.196
538,1.27018,62.239
539,1.27561,62.505
540,1.2751,62.48
541,1.27706,62.576
542,1.27888,62.665
543,1.28404,62.918
544,1.284,62.916
545,1.29116,63.267
546,1.28645,63.036
547,1.28961,63.191
548,1.29304,63.359
549,1.29541,63.475
550,1.2921,63.313
551,1.30388,63.89
552,1.31041,64.21
553,1.30667,64.027
554,1.30529,63.959
555,1.31388,64.38
556,1.31745,64.555
557,1.3128,64.327
558,1.31484,64.427
559,1.32141,64.749
560,1.3261,64.979
561,1.32553,64.951
562,1.33002,65.171
563,1.32704,65.025
564,1.32904,65.123
565,1.33082,65.21
566,1.33388,65.36
567,1.33978,65.649
568,1.33541,65.435
569,1.34227,65.771
570,1.34202,65.759
571,1.34333,65.823
572,1.34547,65.928
573,1.34918,66.11
574,1.35161,66.229
575,1.35298,66.296
576,1.3558,66.434
577,1.36229,66.752
578,1.36412,66.842
579,1.36165,66.721
580,1.36116,66.697
581,1.36353,66.813
582,1.3739,67.321
583,1.36653,66.96
584,1.36876,67.069
585,1.374,67.326
586,1.37543,67.396
587,1.37602,67.425
588,1.37598,67.423
589,1.3881,68.017
590,1.38592,67.91
591,1.38663,67.945
592,1.38737,67.981
593,1.3928,68.247
594,1.38831,68.027
595,1.39647,68.427
596,1.395,68.355
597,1.39659,68.433
598,1.39784,68.494
599,1.40427,68.809
600,1.40188,68.692
601,1.40859,69.021
602,1.40431,68.811
603,1.40941,69.061
604,1.41008,69.094
605,1.41608,69.388
606,1.41937,69.549
607,1.41422,69.297
608,1.42661,69.904
609,1.42122,69.64
610,1.42527,69.838
611,1.42212,69.684
612,1.4309,70.114
613,1.43702,70.414
614,1.43386,70.259
615,1.43412,70.272
616,1.43916,70.519
617,1.43833,70.478
618,1.44139,70.628
619,1.44469,70.79
620,1.4468,70.893
621,1.44727,70.916
622,1.44733,70.919
623,1.44673,70.89
624,1.45412,71.252
625,1.45284,71.189
626,1.45492,71.291
627,1.45698,71.392
628,1.45988,71.534
629,1.45929,71.505
630,1.46549,71.809
631,1.46233,71.654
632,1.46631,71.849
633,1.46704,71.885
634,1.47122,72.09
635,1.47367,72.21
