##ver, min, mean, max, stddev, count, total
0 0.0 1.2399999999999998 6.0 0.8466018508588034 50 62.0
1 1.0 1.4400000000000002 5.0 0.7329003050503236 50 72.0
2 1.0 1.8800000000000001 5.0 0.7461465632686047 50 94.0
3 1.0 2.3 6.0 0.8630747123996132 50 115.0
4 1.0 2.68 7.0 0.9133924207511881 50 134.0
5 2.0 3.04 7.0 1.0490034143249047 50 152.0
6 2.0 4.18 39.0 5.141626836966315 50 209.0
7 2.0 3.96 9.0 1.2610329423265088 50 198.0
8 3.0 4.3 9.0 1.1649647450214358 50 215.0
9 2.0 6.020000000000001 67.0 8.93625954714149 50 301.0
