##bucket, min, mean, max, stddev, count, total
0 0.0 1.2307692307692308 5.0 1.3008872711759818 13 16.0
1 0.0 1.3076923076923077 3.0 0.7510676161988106 13 17.0
2 0.0 1.307692307692308 4.0 1.109400392450458 13 17.0
3 1.0 1.846153846153846 4.0 0.9870962335856492 13 24.0
4 1.0 2.153846153846154 6.0 1.5191090506254996 13 28.0
5 1.0 2.4615384615384617 6.0 1.613246448179602 13 32.0
6 1.0 3.0 7.0 1.8257418583505538 13 39.0
7 1.0 3.0 7.0 1.6832508230603465 13 39.0
8 2.0 3.307692307692308 8.0 1.9315199276138029 13 43.0
9 1.0 3.076923076923077 7.0 1.84668795692624 13 40.0
tot,0.0,2.2692307692307696,8.0,1.6461769736280714,130
