##bucket, min, mean, max, stddev, count, total
0 10.0 34.1 106.0 27.40012165423115 10 341.0
1 9.0 22.0 42.0 8.96908269804914 10 220.0
2 10.0 25.7 76.0 18.607346219526665 10 257.0
3 10.0 21.0 30.0 6.733003292241386 10 210.0
4 11.0 21.6 31.0 6.818276093624318 10 216.0
5 9.0 18.5 26.0 5.816642788871716 10 185.0
6 10.0 19.6 28.0 6.1137368096588665 10 196.0
7 8.0 16.7 24.0 5.375872022286244 10 167.0
8 9.0 16.6 24.0 4.926120853842978 10 166.0
9 8.0 12.2 17.0 2.6583202716502514 10 122.0
tot,8.0,20.799999999999994,106.0,12.628331143692247,100
