##bucket, min, mean, max, stddev, count, total
0 1.0 1.9400000000000004 8.0 1.315682487594658 50 97.0
1 1.0 1.3199999999999998 4.0 0.6207303137828691 50 66.0
2 0.0 1.3 4.0 0.6144518047887589 50 65.0
3 0.0 1.2799999999999998 3.0 0.5360475154083921 50 64.0
4 1.0 1.1800000000000002 3.0 0.48191793695522933 50 59.0
5 0.0 1.26 3.0 0.5646020812962718 50 63.0
6 1.0 1.2799999999999998 3.0 0.5360475154083921 50 64.0
7 0.0 1.3 4.0 0.6144518047887589 50 65.0
8 0.0 1.26 3.0 0.5996597674804387 50 63.0
9 0.0 0.8200000000000001 2.0 0.4375255094603872 50 41.0
tot,0.0,1.2940000000000016,8.0,0.7159533353206121,500
