##ver, min, mean, max, stddev, count, total
0 0.0 0.4600000000000001 2.0 0.5424810727442153 50 23.0
1 0.0 0.3800000000000001 3.0 0.6023762469230866 50 19.0
2 0.0 0.3599999999999999 3.0 0.5979557010416102 50 18.0
3 0.0 0.6999999999999998 3.0 0.6468132241526724 50 35.0
4 0.0 0.6399999999999999 4.0 0.7761758689832075 50 32.0
5 0.0 0.6599999999999999 4.0 0.7982122882685144 50 33.0
6 0.0 0.7999999999999999 4.0 0.7824607964359515 50 40.0
7 0.0 0.9799999999999998 5.0 0.82040308659207 50 49.0
8 0.0 1.0 5.0 0.989743318610787 50 50.0
9 0.0 1.2000000000000004 6.0 1.1065666703449757 50 60.0
