##bucket, min, mean, max, stddev, count, total
0 0.0 0.30000000000000016 3.0 0.6144518047887589 50 15.0
1 0.0 0.3400000000000001 4.0 0.717421687399413 50 17.0
2 0.0 0.47999999999999987 3.0 0.6464976285134146 50 24.0
3 0.0 0.54 3.0 0.6764251772429551 50 27.0
4 0.0 0.7600000000000002 5.0 0.8703740692415899 50 38.0
5 0.0 0.8199999999999997 4.0 0.9189612592043075 50 41.0
6 0.0 0.9200000000000002 5.0 0.9655282999266174 50 46.0
7 0.0 0.9799999999999996 6.0 1.1337134216586569 50 49.0
8 0.0 1.2199999999999995 6.0 1.1119022127022888 50 61.0
9 0.0 1.2199999999999998 5.0 0.9749934589000893 50 61.0
tot,0.0,0.758000000000002,6.0,0.9301431785834525,500
