##ver, min, mean, max, stddev, count, total
0 0.0 1.2999999999999998 7.0 1.0738068841694943 50 65.0
1 0.0 1.0200000000000002 3.0 0.5529143565818182 50 51.0
2 0.0 1.16 3.0 0.6180945043652558 50 58.0
3 0.0 1.04 4.0 0.6375975315548971 50 52.0
4 0.0 0.9400000000000002 3.0 0.6197431989566816 50 47.0
5 0.0 0.9799999999999998 3.0 0.5529143565818186 50 49.0
6 0.0 0.9400000000000003 2.0 0.5115003939990903 50 47.0
7 0.0 1.0200000000000002 2.0 0.5529143565818183 50 51.0
8 0.0 0.9400000000000001 2.0 0.5115003939990901 50 47.0
9 0.0 0.9400000000000001 2.0 0.42426406871192857 50 47.0
