##bucket, min, mean, max, stddev, count, total
0 0.0 1.2200000000000002 4.0 0.6157789160643521 50 61.0
1 1.0 1.3599999999999999 5.0 0.7216760537322909 50 68.0
2 1.0 1.8 8.0 1.1780301787479033 50 90.0
3 1.0 2.16 6.0 0.8656718518596065 50 108.0
4 1.0 2.42 6.0 0.8827138117585949 50 121.0
5 2.0 2.8600000000000003 6.0 0.9691148917798071 50 143.0
6 2.0 3.1399999999999997 7.0 1.0499757042864544 50 157.0
7 2.0 3.58 8.0 1.2303973142933982 50 179.0
8 2.0 3.9799999999999995 8.0 1.15157390078952 50 199.0
9 2.0 3.5 9.0 1.4463183379511848 50 175.0
tot,0.0,2.6019999999999994,9.0,1.3767304651045886,500
