##bucket, min, mean, max, stddev, count, total
0 0.0 1.1 3.0 0.839095723176481 50 55.0
1 0.0 1.2399999999999998 4.0 0.9806287029560294 50 62.0
2 0.0 1.7 6.0 1.1649647450214355 50 85.0
3 0.0 1.8599999999999999 6.0 1.277912839159931 50 93.0
4 0.0 2.2800000000000002 7.0 1.5391489829892155 50 114.0
5 0.0 2.6 8.0 1.7142857142857144 50 130.0
6 0.0 3.08 9.0 1.9674908915070648 50 154.0
7 0.0 3.2199999999999998 10.0 2.1408562086516802 50 161.0
8 0.0 3.5400000000000005 10.0 2.242538648905908 50 177.0
9 0.0 3.08 9.0 1.9881280293845487 50 154.0
tot,0.0,2.3699999999999988,10.0,1.8351663879176345,500
