##ver, min, mean, max, stddev, count, total
0 2.0 6.666666666666666 15.0 5.819507424745384 6 40.0
1 2.0 3.833333333333333 10.0 3.1251666622224588 6 23.0
2 3.0 4.333333333333333 10.0 2.8047578623950176 6 26.0
3 4.0 5.0 9.0 2.0 6 30.0
4 4.0 5.5 11.0 2.7386127875258306 6 33.0
5 4.0 6.833333333333333 13.0 3.1885210782848317 6 41.0
6 4.0 6.5 12.0 2.8809720581775866 6 39.0
7 5.0 7.333333333333334 16.0 4.320493798938573 6 44.0
8 6.0 7.833333333333333 14.0 3.1251666622224588 6 47.0
9 6.0 8.166666666666666 13.0 2.6394443859772205 6 49.0
