##bucket, min, mean, max, stddev, count, total
0 0.0 0.5799999999999998 5.0 0.8592830423898611 50 29.0
1 0.0 0.54 2.0 0.5424810727442153 50 27.0
2 0.0 0.3199999999999999 2.0 0.5126959555693245 50 16.0
3 0.0 0.5 1.0 0.5050762722761054 50 25.0
4 0.0 0.44 2.0 0.5405967979549856 50 22.0
5 0.0 0.3400000000000001 1.0 0.4785181206984066 50 17.0
6 0.0 0.46 1.0 0.5034574339058886 50 23.0
7 0.0 0.39999999999999997 2.0 0.5345224838248489 50 20.0
8 0.0 0.44 1.0 0.501426536422407 50 22.0
9 0.0 0.32 1.0 0.47121207149916117 50 16.0
tot,0.0,0.43400000000000133,5.0,0.5570139397341111,500
