##ver, min, mean, max, stddev, count, total
0 0.0 0.43999999999999995 6.0 0.993036982684729 50 22.0
1 0.0 0.4600000000000001 4.0 0.7059513771774766 50 23.0
2 0.0 0.47999999999999987 3.0 0.6464976285134146 50 24.0
3 0.0 0.68 4.0 0.7406560798180407 50 34.0
4 0.0 0.6599999999999999 5.0 0.8478062928547313 50 33.0
5 0.0 0.8400000000000001 5.0 0.9116032076310747 50 42.0
6 0.0 0.9799999999999996 5.0 0.914508901330241 50 49.0
7 0.0 1.2000000000000004 6.0 0.9897433186107865 50 60.0
8 0.0 2.4800000000000004 62.0 8.650209387580139 50 124.0
9 0.0 1.4 6.0 1.178030178747902 50 70.0
