##bucket, min, mean, max, stddev, count, total
0 3.0 10.666666666666666 26.0 9.791152468768255 6 64.0
1 3.0 6.166666666666666 15.0 4.5789372857319925 6 37.0
2 3.0 5.5 12.0 3.5071355833500366 6 33.0
3 3.0 6.0 12.0 3.4641016151377544 6 36.0
4 3.0 6.166666666666667 12.0 3.5449494589721118 6 37.0
5 3.0 5.5 11.0 2.8809720581775866 6 33.0
6 3.0 5.666666666666667 11.0 2.9439202887759492 6 34.0
7 3.0 5.0 10.0 2.6076809620810595 6 30.0
8 4.0 5.333333333333333 10.0 2.3380903889000244 6 32.0
9 3.0 3.8333333333333335 6.0 1.1690451944500122 6 23.0
tot,3.0,5.9833333333333325,26.0,4.304084251375413,60
