##ver, min, mean, max, stddev, count, total
0 0.0 1.8913043478260874 8.0 1.5235668802672697 46 87.0
1 0.0 2.4130434782608696 9.0 1.8205748415330767 46 111.0
2 1.0 2.804347826086956 9.0 1.6682601078487778 46 129.0
3 1.0 4.7608695652173925 72.0 10.328353171103956 46 219.0
4 1.0 3.9782608695652177 10.0 2.3236860605969465 46 183.0
5 1.0 4.326086956521739 11.0 2.7813214111768043 46 199.0
6 1.0 5.043478260869565 11.0 2.9208562042975648 46 232.0
7 1.0 5.5 13.0 3.4560735588879536 46 253.0
8 1.0 7.173913043478261 47.0 7.075165794134634 46 330.0
9 1.0 6.869565217391305 16.0 4.145191032467886 46 316.0
