##ver, min, mean, max, stddev, count, total
0 0.0 0.6399999999999999 3.0 0.6627093431281831 50 32.0
1 0.0 1.8799999999999997 60.0 8.42891040480588 50 94.0
2 0.0 0.7799999999999998 4.0 0.7365113574085855 50 39.0
3 0.0 0.7600000000000002 4.0 0.7708992893275456 50 38.0
4 0.0 1.0 6.0 0.9476070829586857 50 50.0
5 0.0 1.0400000000000005 6.0 1.049003414324905 50 52.0
6 0.0 1.26 7.0 1.1747340124470729 50 63.0
7 0.0 1.2800000000000002 7.0 1.0505586463343 50 64.0
8 0.0 1.3800000000000006 7.0 1.1408911661772223 50 69.0
9 0.0 1.6599999999999997 8.0 1.479244153379056 50 83.0
