##ver, min, mean, max, stddev, count, total
0 0.0 0.4883720930232558 3.0 0.6680495071209639 43 21.0
1 0.0 0.4883720930232558 3.0 0.6314040674128689 43 21.0
2 0.0 0.6046511627906975 3.0 0.7283227595523495 43 26.0
3 0.0 0.5813953488372093 4.0 0.8232501829865417 43 25.0
4 0.0 0.6511627906976745 4.0 0.8130987443762978 43 28.0
5 0.0 0.7674418604651165 4.0 0.8954171494556673 43 33.0
6 0.0 0.9069767441860466 5.0 1.1087091054008131 43 39.0
7 0.0 1.1162790697674416 5.0 0.9564144928693541 43 48.0
8 0.0 1.13953488372093 5.0 1.0596808897209882 43 49.0
9 0.0 1.3488372093023258 6.0 1.3252802206870846 43 58.0
