##bucket, min, mean, max, stddev, count, total
0 0.0 0.42000000000000004 2.0 0.5746338674605357 50 21.0
1 0.0 0.5 2.0 0.5439837932759934 50 25.0
2 0.0 0.5599999999999997 2.0 0.6439672954048369 50 28.0
3 0.0 0.7200000000000002 3.0 0.757008074256672 50 36.0
4 0.0 0.7200000000000002 4.0 0.7835033829029758 50 36.0
5 0.0 0.8999999999999998 4.0 0.9529760045804524 50 45.0
6 0.0 1.0200000000000005 4.0 0.8687311883149009 50 51.0
7 0.0 1.1000000000000003 5.0 0.9313146293146632 50 55.0
8 0.0 1.2999999999999998 6.0 1.0151907431108511 50 65.0
9 0.0 1.1000000000000003 5.0 0.9313146293146632 50 55.0
tot,0.0,0.8339999999999976,6.0,0.8555161106789675,500
