##ver, min, mean, max, stddev, count, total
0 0.0 0.39999999999999997 2.0 0.5345224838248489 50 20.0
1 0.0 0.31999999999999995 2.0 0.5126959555693243 50 16.0
2 0.0 0.21999999999999995 1.0 0.4184519575964801 50 11.0
3 0.0 0.31999999999999995 1.0 0.47121207149916117 50 16.0
4 0.0 0.2799999999999999 1.0 0.4535573676110728 50 14.0
5 0.0 0.19999999999999993 1.0 0.4040610178208843 50 10.0
6 0.0 0.38000000000000006 1.0 0.49031435147801444 50 19.0
7 0.0 0.26000000000000006 1.0 0.44308749769345207 50 13.0
8 0.0 0.3000000000000001 1.0 0.46291004988627565 50 15.0
9 0.0 0.2799999999999999 1.0 0.45355736761107285 50 14.0
