##bucket, min, mean, max, stddev, count, total
0 0.0 0.26530612244897955 3.0 0.5691920518039014 49 13.0
1 0.0 0.18367346938775514 4.0 0.6348710298082559 49 9.0
2 0.0 0.22448979591836732 4.0 0.6540038902295413 49 11.0
3 0.0 0.1632653061224489 4.0 0.6240639248610076 49 8.0
4 0.0 0.2857142857142858 4.0 0.6770032003863297 49 14.0
5 0.0 0.3673469387755103 3.0 0.6018678409411681 49 18.0
6 0.0 0.3061224489795919 5.0 0.7959292690688947 49 15.0
7 0.0 0.4693877551020409 6.0 0.9376842222626304 49 23.0
8 0.0 0.4897959183673471 8.0 1.192379431004658 49 24.0
9 0.0 0.40816326530612257 5.0 0.8144110179279549 49 20.0
10 0.0 0.5306122448979591 6.0 0.9376842222626303 49 26.0
11 0.0 0.4693877551020409 6.0 0.9376842222626304 49 23.0
12 0.0 0.6938775510204082 5.0 0.7959292690688944 49 34.0
13 0.0 0.6530612244897958 9.0 1.3157858932998188 49 32.0
14 0.0 0.7551020408163265 9.0 1.331205785570892 49 37.0
15 0.0 0.7346938775510206 7.0 1.0562415720389906 49 36.0
16 0.0 0.8163265306122449 7.0 1.0542269953966894 49 40.0
17 0.0 0.8163265306122449 9.0 1.31772324781159 49 40.0
18 0.0 0.9387755102040817 7.0 1.0084675516451138 49 46.0
19 0.0 0.8979591836734693 6.0 0.8954723604329283 49 44.0
20 0.0 0.8163265306122449 7.0 1.0542269953966894 49 40.0
21 0.0 0.8571428571428573 7.0 1.0408329997330676 49 42.0
22 0.0 1.0612244897959182 5.0 0.7748161950129983 49 52.0
23 0.0 1.2244897959183672 9.0 1.2460822960123343 49 60.0
24 0.0 1.0816326530612246 5.0 0.7862552250456365 49 53.0
25 0.0 1.0 4.0 0.7071067811865476 49 49.0
26 0.0 1.142857142857143 4.0 0.67700320038633 49 56.0
27 0.0 1.0408163265306123 5.0 0.7894930776947263 49 51.0
28 0.0 1.1632653061224487 6.0 0.8978432207126098 49 57.0
29 0.0 1.8163265306122456 36.0 5.040144960662315 49 89.0
30 0.0 1.2653061224489797 5.0 0.7846312882516233 49 62.0
31 0.0 1.2448979591836733 5.0 0.7781016494461036 49 61.0
32 0.0 1.3673469387755102 6.0 0.9285714285714282 49 67.0
33 1.0 1.4489795918367347 6.0 0.9587584091286134 49 71.0
34 1.0 1.3877551020408165 6.0 0.9086695065362559 49 68.0
35 1.0 1.4285714285714284 6.0 1.0606601717798212 49 70.0
36 1.0 1.4285714285714284 5.0 0.8897565210026096 49 70.0
37 1.0 1.4897959183673466 5.0 0.8196149751456436 49 73.0
38 1.0 1.6326530612244898 5.0 0.8586296628693795 49 80.0
39 1.0 1.4897959183673468 6.0 0.9156611677633058 49 73.0
40 1.0 1.7142857142857142 7.0 1.0408329997330665 49 84.0
41 1.0 1.714285714285714 7.0 1.0 49 84.0
42 1.0 1.6734693877551023 7.0 1.0080458633341214 49 82.0
43 1.0 1.6530612244897962 7.0 1.0114144470361637 49 81.0
44 1.0 1.816326530612245 7.0 0.9931739816482966 49 89.0
45 1.0 1.7959183673469385 7.0 1.098855310401365 49 88.0
46 1.0 1.836734693877551 6.0 0.8501700510170063 49 90.0
47 1.0 1.816326530612245 7.0 1.0542269953966892 49 89.0
48 1.0 2.0408163265306127 8.0 1.1172731625381016 49 100.0
49 1.0 1.9183673469387754 8.0 1.16969965329206 49 94.0
50 1.0 2.1020408163265305 8.0 1.1409955075719276 49 103.0
51 1.0 2.0 7.0 0.9789450103725609 49 98.0
52 1.0 2.020408163265306 6.0 0.9462600928208407 49 99.0
53 1.0 2.0 7.0 1.0606601717798212 49 98.0
54 1.0 2.1428571428571432 8.0 1.1547005383792521 49 105.0
55 1.0 2.204081632653061 8.0 1.098855310401365 49 108.0
56 1.0 2.2653061224489797 8.0 1.0949792654825623 49 111.0
57 1.0 2.183673469387755 8.0 1.1487941030299833 49 107.0
58 1.0 2.2448979591836737 8.0 1.2167342260620226 49 110.0
59 1.0 2.3469387755102042 8.0 1.2170836113459098 49 115.0
60 1.0 2.285714285714286 8.0 1.2076147288491197 49 112.0
61 1.0 2.3265306122448974 7.0 1.1065666703449755 49 114.0
62 1.0 2.387755102040816 7.0 1.1513818967262093 49 117.0
63 1.0 2.306122448979592 7.0 0.9399486163405657 49 113.0
64 2.0 2.4693877551020407 8.0 1.0428734506226571 49 121.0
65 2.0 2.4693877551020407 8.0 1.0820898148245093 49 121.0
66 2.0 2.5306122448979593 7.0 1.0021235955111885 49 124.0
67 2.0 2.5510204081632653 7.0 1.021869701613092 49 125.0
68 2.0 2.5714285714285716 7.0 1.0408329997330659 49 126.0
69 2.0 2.63265306122449 7.0 1.0546302185881002 49 129.0
70 2.0 2.693877551020408 7.0 1.0449099170234137 49 132.0
71 2.0 2.6530612244897958 8.0 1.1645997239424377 49 130.0
72 2.0 2.8979591836734695 8.0 1.2457410438366872 49 142.0
73 2.0 2.8775510204081636 8.0 1.1660591226653219 49 141.0
74 2.0 2.836734693877551 8.0 1.2474463711837847 49 139.0
75 2.0 3.4693877551020407 33.0 4.49120455639096 49 170.0
76 2.0 2.9183673469387754 8.0 1.2883570722351123 49 143.0
77 2.0 3.0612244897959178 8.0 1.3135220348568273 49 150.0
78 2.0 2.9591836734693873 8.0 1.257629775832786 49 145.0
79 2.0 3.1428571428571432 8.0 1.3228756555322951 49 154.0
80 2.0 3.0408163265306127 8.0 1.2409536600512354 49 149.0
81 2.0 4.061224489795919 29.0 4.7845592067317 49 199.0
82 2.0 3.163265306122449 9.0 1.3896483184531225 49 155.0
83 2.0 3.1428571428571432 9.0 1.2076147288491201 49 154.0
84 2.0 3.489795918367347 21.0 2.9306032440693275 49 171.0
85 2.0 3.1224489795918364 9.0 1.3788983081495478 49 153.0
86 2.0 3.3061224489795924 11.0 1.58382555900596 49 162.0
87 2.0 3.326530612244898 9.0 1.3902600941017116 49 163.0
88 2.0 3.224489795918367 8.0 1.2292495360050801 49 158.0
tot,0.0,1.7894978216005522,36.0,1.6736461734231824,4361
