##ver, min, mean, max, stddev, count, total
0 0.0 0.9183673469387754 13.0 2.2898028908426955 49 45.0
1 0.0 0.5306122448979591 6.0 1.1199337929896893 49 26.0
2 0.0 0.40816326530612246 6.0 1.0189530441205075 49 20.0
3 0.0 0.4081632653061225 6.0 1.0785477764672493 49 20.0
4 0.0 0.42857142857142855 6.0 1.0801234497346437 49 21.0
5 0.0 5.632653061224492 236.0 33.72418387791307 49 276.0
6 0.0 1.612244897959184 33.0 6.560031524729299 49 79.0
7 0.0 1.1632653061224496 30.0 4.288292875062633 49 57.0
8 0.0 1.244897959183673 40.0 5.699161532793289 49 61.0
9 0.0 1.244897959183673 32.0 4.562211690639105 49 61.0
10 0.0 0.5102040816326529 5.0 1.002547774829871 49 25.0
11 0.0 0.7755102040816327 5.0 0.9845749108635876 49 38.0
12 0.0 0.6122448979591835 6.0 1.151381896726209 49 30.0
13 0.0 1.2653061224489797 22.0 3.206604578860645 49 62.0
14 0.0 0.8367346938775513 7.0 1.3439205515876274 49 41.0
15 0.0 0.8367346938775512 7.0 1.21358523213092 49 41.0
16 0.0 0.8163265306122449 6.0 1.2019683403303358 49 40.0
17 0.0 1.0 7.0 1.2583057392117916 49 49.0
18 0.0 0.8571428571428572 6.0 1.136515141415489 49 42.0
19 0.0 0.8775510204081631 6.0 1.2850527398584415 49 43.0
20 0.0 0.9795918367346937 7.0 1.2827346425762836 49 48.0
21 0.0 1.0 6.0 1.1726039399558574 49 49.0
22 0.0 0.9795918367346937 6.0 1.1635039736067252 49 48.0
23 0.0 1.0 6.0 1.224744871391589 49 49.0
24 0.0 1.183673469387755 6.0 1.1667881375053188 49 58.0
25 0.0 1.2040816326530615 7.0 1.1722412976277308 49 59.0
26 0.0 1.1224489795918369 6.0 1.0534200859823306 49 55.0
27 0.0 1.2040816326530615 7.0 1.1176536403841515 49 59.0
28 0.0 1.183673469387755 6.0 1.0342765061415942 49 58.0
29 0.0 1.2040816326530612 7.0 1.040424429354328 49 59.0
