##ver, min, mean, max, stddev, count, total
0 0.0 2.8775510204081636 68.0 9.85865240339086 49 141.0
1 0.0 3.1632653061224474 46.0 9.294592824987703 49 155.0
2 0.0 2.1428571428571415 36.0 6.17791766428355 49 105.0
3 0.0 2.0612244897959178 35.0 5.569291409391417 49 101.0
4 0.0 2.9183673469387763 50.0 8.628530037743676 49 143.0
5 0.0 1.959183673469387 27.0 4.568730602665023 49 96.0
6 0.0 2.1224489795918364 45.0 6.7411443546985605 49 104.0
7 0.0 2.2040816326530632 35.0 5.697146916939856 49 108.0
8 0.0 1.9387755102040818 41.0 6.1353082076388885 49 95.0
9 0.0 1.8571428571428585 44.0 6.522397309783161 49 91.0
10 0.0 1.7346938775510186 37.0 5.648655851188856 49 85.0
11 0.0 1.6122448979591828 35.0 5.167270098621602 49 79.0
12 0.0 1.8775510204081638 37.0 5.570131106555546 49 92.0
13 0.0 1.897959183673468 35.0 5.312112330793275 49 93.0
14 0.0 2.020408163265305 45.0 6.625360983619332 49 99.0
15 0.0 2.6122448979591817 51.0 7.7857142857142785 49 128.0
16 0.0 1.897959183673468 33.0 5.331685544769056 49 93.0
17 0.0 2.367346938775509 44.0 6.735149953635717 49 116.0
18 0.0 2.1020408163265323 36.0 5.777993084249295 49 103.0
19 0.0 2.0 31.0 5.131601439446884 49 98.0
20 0.0 2.4285714285714275 48.0 7.385233013701499 49 119.0
21 0.0 1.6734693877551012 30.0 4.656481840322337 49 82.0
22 0.0 2.0612244897959178 40.0 6.253026478118765 49 101.0
23 0.0 2.0 41.0 6.238322424070967 49 98.0
24 0.0 2.0 34.0 5.350233639758174 49 98.0
25 0.0 2.1632653061224505 37.0 5.810719041763498 49 106.0
26 0.0 1.918367346938776 35.0 5.540896192155641 49 94.0
27 0.0 3.0 41.0 8.04673846971554 49 147.0
28 0.0 1.8367346938775497 30.0 4.853464994102626 49 90.0
29 0.0 1.979591836734695 42.0 6.2964599707506546 49 97.0
30 0.0 2.183673469387754 34.0 5.592679252781239 49 107.0
31 0.0 2.2448979591836724 39.0 5.939032652169659 49 110.0
